DESIGNATION MATERIEL;"CATEGORIE";"SOUS CATEGORIE";"N° INV. IRAP";"DESCRIPTION";"Organisme (UPS ou CNRS)";"INVENTORIABLE";"TECHNIQUE";"STATUT";"NOM du FOURNISSEUR";"MONTANT";"ORIGINE CREDITS";"CDE";"CODE COMPTABLE";"REF. MATERIEL - N° série";"groupe thematique";"groupe technique";"Numéro inventaire organisme";"Lieu de stockage";"description lieu";"NOM RESPONSABLE PROJET";"Mail responsable";"Date de mise en service"
CARTE PC19812;"INSTRUMENTATION";;"IRAP99-0016";;"CNRS";;;;;1280,57;;;21830000;;;;"179";;;;;"22/06/1999"
CARTE GENERATEUR SIGNAUX;"INSTRUMENTATION";;"IRAP99-0017";;"CNRS";;;;;3463,79;;;21830000;;;;"180";;;;;"16/07/1999"
COMMUTATEUR BAYSTACK 310;"INSTRUMENTATION";;"IRAP99-0018";;"CNRS";;;;;1054,03;;;21540000;;;;"181";;;;;"16/07/1999"
TERMINAL X17 P COULOEUR;"INFORMATIQUE";;"IRAP99-0019";;"CNRS";;;;;1450,48;;;21830000;;;;"182";;;;;"16/07/1999"
TERMINIAL X17 P COULEUR;"INFORMATIQUE";;"IRAP99-0020";;"CNRS";;;;;1450,48;;;21830000;;;;"184";;;;;"16/07/1999"
COPIEUR IMPRIMANTE;"INFORMATIQUE";;"IRAP99-0021";;"CNRS";;;;;9062,48;;;21830000;;;;"186";;;;;"28/07/1999"
OPTIPLEX GX1-MT;"INFORMATIQUE";;"IRAP99-0022";;"CNRS";;;;;1640,04;;;21830000;;;;"190";;;;;"16/08/1999"
CLIM MITSUBISHI MSC 07;"LOGISTIQUE";;"IRAP99-0023";;"CNRS";;;;;2401,68;;;21540000;;;;"191";;;;;"17/08/1999"
TERMINAL AUDIOREUNIO?N;"LOGISTIQUE";;"IRAP99-0024";;"CNRS";;;;;1196,72;;;21830000;;;;"192";;;;;"19/08/1999"
BLOC ALIM ER 2150/1;"ELECTRONIQUE";;"IRAP99-0025";;"CNRS";;;;;1501,47;;;21540000;;;;"194";;;;;"02/09/1999"
RECIPIENT AUTOPRESSURISE;"INSTRUMENTATION";;"IRAP99-0026";;"CNRS";;;;;2404,09;;;21540000;;;;"195";;;;;"27/10/1999"
LECTEUR DAT;"INFORMATIQUE";;"IRAP99-0027";;"CNRS";;;;;1065,90;;;21830000;;;;"196";;;;;"08/11/1999"
LATITUDE CP1A 366XT;"INFORMATIQUE";;"IRAP99-0028";;"CNRS";;;;;3117,96;;;21830000;;;;"198";;;;;"22/11/1999"
OPTIPLEX GX1-L;"INFORMATIQUE";;"IRAP99-0029";;"CNRS";;;;;1402,84;;;21830000;;;;"199";;;;;"22/11/1999"
TELEAGRANDISSEUR VIDEOL;"INSTRUMENTATION";;"IRAP99-0030";;"CNRS";;;;;2962,28;;;21540000;;;;"200";;;;;"24/11/1999"
OPTIPLEX GX100-L;"INFORMATIQUE";;"IRAP99-0031";;"CNRS";;;;;1076,37;;;21830000;;;;"201";;;;;"06/12/1999"
OPTIPLEX GX1-MT;"INFORMATIQUE";;"IRAP99-0032";;"CNRS";;;;;2095,93;;;21830000;;;;"202";;;;;"06/12/1999"
TETE REFRIGERANTE RG 124;"INSTRUMENTATION";;"IRAP99-0033";;"CNRS";;;;;8384,70;;;21540000;;;;"205";;;;;"09/12/1999"
SPECTROMETRE DE MASSE;"INSTRUMENTATION";;"IRAP99-0034";;"CNRS";;;;;9993,34;;;21540000;;;;"206";;;;;"21/12/1999"
LASERJET 4050N;"INSTRUMENTATION";;"IRAP99-0035";;"CNRS";;;;;1316,73;;;21830000;;;;"207";;;;;"30/12/1999"
Oscilloscope TDS3012B - 2 voies - 100 Mhz - 1,25Gech/s;"ELECTRONIQUE";;"IRAPxx-1137";;;;;;;;;;;"C010222";;;"A01 0016";;;"PETIOT";;
SERVEUR;"INFORMATIQUE";;"IRAPxx-1138";;"UPS";;;;;15200,00;2292512;"10332";;"T5140";;;"378";;;"CAPELLA";;
CHASSIS;"INFORMATIQUE";;"IRAPxx-1139";;"UPS";;;;;1855,00;2292512;"10448";;"J4400";;;"379";;;"CAPELLA";;
MACBOOK PRO;"INFORMATIQUE";;"IRAPxx-1140";;"UPS";;;;;1476,00;268841;"10693";;;;;"381";;;;;
Générateur de signaux 0.1Hz - 990MHz;"ELECTRONIQUE";;"IRAPxx-1141";;;;;;;;;;;"8656B";;;"LP/502";;;"RAVERA";;
Diode à bruit 100Hz-1GHz, 10mW;"ELECTRONIQUE";;"IRAPxx-1142";;;;;;;;;;;"NC6109";;;"LP/514";;;"RAVERA";;
Analyseur HP 8594E;"ELECTRONIQUE";;"IRAPxx-1143";;;;;;;;;;;"3528U01578";;;"LP516";;;"LANDÉ";;
Générateur HF 8648C;"ELECTRONIQUE";;"IRAPxx-1144";;;;;;;;;;;"3623A02767";;;"LP571";;;"LANDÉ";;
Puissance-mètre 100kHz-50GHz;"ELECTRONIQUE";;"IRAPxx-1145";;;;;;;;;;;"436A";;;"LP/572";;;"RAVERA";;
Data acquisition switch unit HP 34970A;"INSTRUMENTATION";;"IRAPxx-1146";;;;;;;;;;;;;;;;;"CROS";;
Générateur de fonctions Arbitrary Function Generator AFG320;"ELECTRONIQUE";;"IRAPxx-1147";;;;;;;;;;;;;;;;;"CROS";;
Pompe TRIVAC ;"INSTRUMENTATION";;"IRAPxx-1148";;;;;;;;;;;;;;;;;"LE COMTE";;
Sondes Clip ON milliamperemeter (2mA-2A);"INSTRUMENTATION";;"IRAPxx-1149";;;;;;;;;;;55132;;;;;;"CROS";;
Alimentation  PE1542/00 Power Supply;"INSTRUMENTATION";;"IRAPxx-1150";;;;;;;;;;;"NC 9416 015 42 001 N";;;;;;"THOCAVEN";;
Alimentation  Triple HM7042-5;"INSTRUMENTATION";;"IRAPxx-1151";;;;;;;;;;;;;;;;;"DEVOTO";;
Alimentation  Triple HM7042-5;"INSTRUMENTATION";;"IRAPxx-1152";;;;;;;;;;;;;;;;;"DEVOTO";;
