DESIGNATION MATERIEL;"CATEGORIE";"SOUS CATEGORIE";"N° INV. IRAP";"DESCRIPTION";"Organisme (UPS ou CNRS)";"INVENTORIABLE";"TECHNIQUE";"STATUT";"NOM du FOURNISSEUR";"MONTANT";"ORIGINE CREDITS";"CDE";"CODE COMPTABLE";"REF. MATERIEL - N° série";"groupe thematique";"groupe technique";"Numéro inventaire organisme";"Lieu de stockage";"description lieu";"NOM RESPONSABLE PROJET";"Mail responsable";"Date de mise en service"
RECISION 370 MINI TOWER;"INFORMATIQUE";;"IRAP05-0381";;"CNRS";;;;;2139,96;;;21830000;;;;"4324";;;;;"26/01/2005"
LATITUDE D600;"INFORMATIQUE";;"IRAP05-0382";;"CNRS";;;;;2016,39;;;21830000;;;;"4325";;;;;"26/01/2005"
UPGRADE CONFIGURATION;"INFORMATIQUE";;"IRAP05-0383";;"CNRS";;;;;1473,00;;;21830000;;;;"4326";;;;;"27/01/2005"
DIODE LASER BENCHTOP;"ELECTRONIQUE";;"IRAP05-0384";;"CNRS";;;;;835,00;;;21540000;;;;"4327";;;;;"27/01/2005"
INSPIRON 9200;"INFORMATIQUE";;"IRAP05-0385";;"CNRS";;;;;1655,00;;;21830000;;;;"4328";;;;;"02/02/2005"
DELL PRECISION 370SMT;"INFORMATIQUE";;"IRAP05-0386";;"CNRS";;;;;1293,36;;;21830000;;;;"4329";;;;;"08/02/2005"
ACC INSTALATION POMPE TS;"INSTRUMENTATION";;"IRAP05-0387";;"CNRS";;;;;5866,66;;;21540000;;;;"4330";;;;;"10/02/2005"
ECRAN SAMSUNG LCD 213T;"INFORMATIQUE";;"IRAP05-0388";;"CNRS";;;;;862,00;;;21830000;;;;"4331";;;;;"11/02/2005"
TOSHIBA PORTABLE INMAC;"INFORMATIQUE";;"IRAP05-0389";;"CNRS";;;;;1027,15;;;21830000;;;;"4331";;;;;"01/03/2005"
VPT B BUNDLE 4101;;;"IRAP05-0390";;"CNRS";;;;;8250,00;;;21540000;;;;"4332";;;;;"07/03/2005"
PRECISION 370 CONFIG.3;"INFORMATIQUE";;"IRAP05-0391";;"CNRS";;;;;1485,46;;;21830000;;;;"4333";;;;;"07/03/2005"
SERVEUR LINUX;"INFORMATIQUE";;"IRAP05-0392";;"CNRS";;;;;8890,00;;;21830000;;;;"4334";;;;;"25/03/2005"
INSPIRON 6000;"INFORMATIQUE";;"IRAP05-0393";;"CNRS";;;;;1283,01;;;21830000;;;;"4335";;;;;"06/04/2005"
BOITIER PHOTOMAX;"INSTRUMENTATION";;"IRAP05-0394";;"CNRS";;;;;1473,40;;;21540000;;;;"4336";;;;;"20/04/2005"
ALIMENT LAMPE A ARC;"ELECTRONIQUE";;"IRAP05-0395";;"CNRS";;;;;3032,66;;;21540000;;;;"4337";;;;;"20/04/2005"
LATITUDE D610 ATI SXGA;"INFORMATIQUE";;"IRAP05-0396";;"CNRS";;;;;1736,88;;;21830000;;;;"4338";;;;;"02/05/2005"
LATITUDE PENTIUM M745;"INFORMATIQUE";;"IRAP05-0397";;"CNRS";;;;;1811,54;;;21830000;;;;"4339";;;;;"03/05/2005"
INA F200;"OPTIQUE";;"IRAP05-0398";;"CNRS";;;;;1790,00;;;21540000;;;;"4340";;;;;"09/05/2005"
SERVEUR 5800 120 RJ-2;"INFORMATIQUE";;"IRAP06-0399";;"CNRS";;;;"NEC COMPUTERS SAS";4361,00;"9ADO0263";;21830000;;;;"553622";;;;;"19/08/2006"
LATITUDE D820N;"INFORMATIQUE";;"IRAP06-0400";;"CNRS";;;;;2215,95;;;21830000;;;;;;;;;"03/07/2006"
IMAC INTEL;"INFORMATIQUE";;"IRAP06-0401";;"CNRS";;;;;1278,52;;;21830000;;;;;;;;;"02/10/2006"
LATITUDE D810 ATI X600;"INFORMATIQUE";;"IRAP06-0402";;"CNRS";;;;;1844,70;;;21830000;;;;"814";;;;;"20/01/2006"
LATX1 INTEL PENTIUM M733;"INFORMATIQUE";;"IRAP06-0403";;"CNRS";;;;;1516,90;;;21830000;;;;"815/30";;;;;"20/01/2006"
POWERBOOK G4;"INFORMATIQUE";;"IRAP06-0404";;"CNRS";;;;;2646,62;;;21830000;;;;"816";;;;;"25/01/2006"
DELL LATITUDE D810;"INFORMATIQUE";;"IRAP06-0405";;"CNRS";;;;;1422,10;;;21830000;;;;"817/10";;;;;"30/01/2006"
SERVEUR SUN FIRE V;"INFORMATIQUE";;"IRAP06-0406";;"CNRS";;;;;8001,21;;;21830000;;;;"820";;;;;"06/02/2006"
ORDINATEUR PM G5 DC;"INFORMATIQUE";;"IRAP06-0407";;"CNRS";;;;;2152,31;;;21830000;;;;"821";;;;;"06/02/2006"
DELL LATITUDE D410;"INFORMATIQUE";;"IRAP06-0408";;"CNRS";;;;;1415,90;;;21830000;;;;"822";;;;;"20/02/2006"
DELL PRECISION 670;"INFORMATIQUE";;"IRAP06-0409";;"CNRS";;;;;1502,60;;;21830000;;;;"823";;;;;"20/02/2006"
PENTIUM M740;"INFORMATIQUE";;"IRAP06-0410";;"CNRS";;;;;1471,40;;;21830000;;;;"824";;;;;"27/02/2006"
CAMERA SXV STARLIGHT;"INSTRUMENTATION";;"IRAP06-0411";;"CNRS";;;;;2601,97;;;21540000;;;;"825";;;;;"10/03/2006"
DELL PRECISION 380;"INFORMATIQUE";;"IRAP06-0412";;"CNRS";;;;;1861,35;;;21830000;;;;"826";;;;;"17/03/2006"
CONVERTISSEUR DC/DC;"ELECTRONIQUE";;"IRAP06-0413";;"CNRS";;;;;982,00;;;21540000;;;;"827";;;;;"23/03/2006"
RTIMS MODULE COMPOSANT;"INSTRUMENTATION";;"IRAP06-0414";;"CNRS";;;;;12057,00;;;21540000;;;;"828";;;;;"23/03/2006"
LATITUDE D810;"INFORMATIQUE";;"IRAP06-0415";;"CNRS";;;;;2053,30;;;21830000;;;;"830";;;;;"23/03/2006"
LATITUDE D510;"INFORMATIQUE";;"IRAP06-0416";;"CNRS";;;;;1028,10;;;21830000;;;;"831";;;;;"24/03/2006"
Laser Power Meter SOLO PE;"INSTRUMENTATION";;"IRAP06-0417";;;;;;;;;;;"164071";;;"834/09";;;"BONNAMY";;01/04/2006
MAC INTEL CD;"INFORMATIQUE";;"IRAP06-0418";;"CNRS";;;;;1353,76;;;21830000;;;;"835/09";;;;;"05/04/2006"
LOT DE 4 LENTILLES;"OPTIQUE";;"IRAP06-0419";;"CNRS";;;;;2925,00;;;21540000;;;;"837/09";;;;;"06/04/2006"
PRECISION M70;"INFORMATIQUE";;"IRAP06-0420";;"CNRS";;;;;2258,61;;;21830000;;;;"840";;;;;"20/04/2006"
BANC DE TEST DU LASER;"INSTRUMENTATION";;"IRAP06-0421";;"CNRS";;;;;68822,64;;;21540000;;;;"841";;;;;"20/04/2006"
LICENCE PADS LAYOUT 225;"INFORMATIQUE";;"IRAP06-0422";;"CNRS";;;;;2040,00;;;20530000;;;;"843";;;;;"21/04/2006"
NEC EXPRESS;"INFORMATIQUE";;"IRAP06-0423";;"CNRS";;;;;1867,04;;;21830000;;;;"844";;;;;"24/04/2006"
SERVEUR E79NUBC-0003Z02;"INFORMATIQUE";;"IRAP06-0424";;"CNRS";;;;;5898,00;;;21830000;;;;"847/09";;;;;"03/05/2006"
PIECES POUR CHEMCAM;;;"IRAP06-0425";;"CNRS";;;;;2332,00;;;21540000;;;;"848/09";;;;;"05/05/2006"
MATERIEL SCIENTIFIQUE;"INSTRUMENTATION";;"IRAP06-0426";;"CNRS";;;;;2741,00;;;21540000;;;;"534467";;;;;"05/05/2006"
COMP.OPTIQUES POUR GALIL;"OPTIQUE";;"IRAP06-0427";;"CNRS";;;;;9630,00;;;21540000;;;;"534469";;;;;"09/05/2006"
MICRO SABLEUSE FG1-93;"INSTRUMENTATION";;"IRAP06-0428";;"CNRS";;;;;5718,51;;;21540000;;;;"534440";;;;;"10/05/2006"
SERVEUR E76NSJJ-0003Z02;"INFORMATIQUE";;"IRAP06-0429";;"CNRS";;;;;1547,00;;;21830000;;;;"534465";;;;;"10/05/2006"
SERVEUR E76NSJG-0003Z02;"INFORMATIQUE";;"IRAP06-0430";;"CNRS";;;;;1547,01;;;21830000;;;;"534464";;;;;"10/05/2006"
LVDS FRAME GRABBER;"INSTRUMENTATION";;"IRAP06-0431";"CARTE D'AQUISITION CALAS";"CNRS";;;;;2719,00;;;21540000;;;;"LATT";"PIC";;"ROUDIER";;"10/05/2006"
LAME ASPHERIQUE CHEMCAM;"INSTRUMENTATION";;"IRAP06-0432";;"CNRS";;;;;22000,00;;;21540000;;;;"538150";;;;;"10/05/2006"
MIROIR;"OPTIQUE";;"IRAP06-0433";;"CNRS";;;;;12320,00;;;21540000;;;;"537677";;;;;"22/05/2006"
MIROIR PLAN;"OPTIQUE";;"IRAP06-0434";;"CNRS";;;;;1011,00;;;21540000;;;;"551922";;;;;"24/05/2006"
LICENCE IDL WINDOWS;"INFORMATIQUE";;"IRAP06-0435";;"CNRS";;;;;1342,50;;;20530000;;;;"546246";;;;;"24/05/2006"
MULTI JAUGE ACIER;"INSTRUMENTATION";;"IRAP06-0436";;"CNRS";;;;;1737,00;;;21540000;;;;"551859";;;;;"25/05/2006"
PC PRECISION 380;"INFORMATIQUE";;"IRAP06-0437";;"CNRS";;;;;1299,75;;;21830000;;;;"552281";;;;;"29/05/2006"
PUMPING SYSTEME;"INSTRUMENTATION";;"IRAP06-0438";;"CNRS";;;;;4293,80;;;21540000;;;;"552268";;;;;"29/05/2006"
ALIMENTATION PROGRAMMABL;"ELECTRONIQUE";;"IRAP06-0439";;"CNRS";;;;;1176,63;;;21540000;;;;"553625";;;;;"01/06/2006"
CARTE VME D INTERFACE;"INSTRUMENTATION";;"IRAP06-0440";;"CNRS";;;;;1815,00;;;21540000;;;;"551917";;;;;"15/06/2006"
STATION DE TRAVAIL;"INFORMATIQUE";;"IRAP06-0441";;"CNRS";;;;;1758,00;;;21830000;;;;"551856";;;;;"21/06/2006"
DATA SYSTEM P4;"INSTRUMENTATION";;"IRAP06-0442";;"CNRS";;;;;3240,00;;;20530000;;;;"553626";;;;;"21/06/2006"
CAMERA CMOS 14 MEGAPIXEL;"INSTRUMENTATION";;"IRAP06-0443";"CALAS";"CNRS";;;;;6205,00;;;21540000;;;;;"PIC";;"ROUDIER";;"28/06/2006"
LECTEUR LTO;"INFORMATIQUE";;"IRAP06-0444";;"CNRS";;;;;3540,00;;;21830000;;;;"551925";;;;;"28/06/2006"
STATION TRAVAIL-BAIES ST;"INFORMATIQUE";;"IRAP06-0445";;"CNRS";;;;;14672,40;;;21830000;;;;"553529";;;;;"28/06/2006"
PUMA 11439;;;"IRAP06-0446";;"CNRS";;;;;18562,92;;;21830000;;;;"552286";;;;;"28/06/2006"
OPTICAL BENCH;"OPTIQUE";;"IRAP06-0447";;"CNRS";;;;;2744,00;;;21540000;;;;"552289";;;;;"28/06/2006"
LASER SOLIDE POMPE PAR;"INSTRUMENTATION";;"IRAP06-0448";;"CNRS";;;;;1727,00;;;21540000;;;;"563546";;;;;"29/06/2006"
ENSEMBLE 3 RIDEAUX LASER;"INSTRUMENTATION";;"IRAP06-0449";;"CNRS";;;;;3105,38;;;21540000;;;;"553425";;;;;"04/07/2006"
COMPOSANTS ELECTRONIQUES;"ELECTRONIQUE";;"IRAP06-0450";;"CNRS";;;;;12057,00;;;21540000;;;;"553633";;;;;"13/07/2006"
UNITE DE TRANSLATION;"INSTRUMENTATION";;"IRAP06-0451";;"CNRS";;;;;1809,65;;;21540000;;;;"561298";;;;;"04/08/2006"
4 PASSAGES DIAM. 80 MM;"OPTIQUE";;"IRAP06-0452";;"CNRS";;;;;2500,00;;;21540000;;;;;;;;;"04/08/2006"
CUVE CLIMATIQUE;"INSTRUMENTATION";;"IRAP06-0453";;"CNRS";;;;;38500,00;;;21540000;;;;"556397";;;;;"04/08/2006"
VAIO BX 294 VP;"INFORMATIQUE";;"IRAP06-0454";;"CNRS";;;;;1145,00;;;21830000;;;;"553460";;;;;"07/09/2006"
PE2900 XEON;"INFORMATIQUE";;"IRAP06-0455";;"CNRS";;;;;7670,02;;;21830000;;;;"553525";;;;;"02/10/2006"
SONY VAIO SZ2XP/C 2GHZ;"INFORMATIQUE";;"IRAP06-0456";;"CNRS";;;;;3250,83;;;21830000;;;;"553612";;;;;"09/10/2006"
MACBOOK PRO 15.4;"INFORMATIQUE";;"IRAP06-0457";;"CNRS";;;;;1799,01;;;21830000;;;;"553615";;;;;"10/10/2006"
ENSEMBLE DE 2 LENTILLES;"OPTIQUE";;"IRAP06-0458";;"CNRS";;;;;10700,00;;;21540000;;;;"554314";;;;;"10/10/2006"
ONDULEUR APC;"INFORMATIQUE";;"IRAP06-0459";;"CNRS";;;;;2446,40;;;21540000;;;;"554461";;;;;"11/10/2006"
MACBOOK PRO 15.4;"INFORMATIQUE";;"IRAP06-0460";;"CNRS";;;;;1799,00;;;21830000;;;;"554603";;;;;"13/10/2006"
CTO MAC PRO INTEL QUAD;"INFORMATIQUE";;"IRAP06-0461";;"CNRS";;;;;6329,00;;;21830000;;;;;;;;;"20/10/2006"
RELAIS A ETAT SOLIDE;"INSTRUMENTATION";;"IRAP06-0462";;"CNRS";;;;;8391,50;;;21540000;;;;"556398";;;;;"03/11/2006"
LAMES DICHROIQUES LASER;"INSTRUMENTATION";;"IRAP06-0463";;"CNRS";;;;;15660,00;;;21540000;;;;"560136";;;;;"14/11/2006"
MAC BOOK 13.3;"INFORMATIQUE";;"IRAP06-0464";;"CNRS";;;;;1119,20;;;21830000;;;;;;;;;"21/11/2006"
PORTABLE SONY VAIO;"INFORMATIQUE";;"IRAP06-0465";;"CNRS";;;;;1581,05;;;21830000;;;;"560294";;;;;"23/11/2006"
PORTABLE SONY;"INFORMATIQUE";;"IRAP06-0466";;"CNRS";;;;;2419,05;;;21830000;;;;"560296";;;;;"24/11/2006"
LATITUDE D420;"INFORMATIQUE";;"IRAP06-0467";;"CNRS";;;;;1879,00;;;21830000;;;;"562264";;;;;"28/11/2006"
HE-NE LASER;"INSTRUMENTATION";;"IRAP06-0468";;"CNRS";;;;;1139,00;;;21540000;;;;"560577";;;;;"01/12/2006"
MODELE STRUCTURE ET;"INSTRUMENTATION";;"IRAP06-0469";;"CNRS";;;;;31266,77;;;21540000;;;;"561248";;;;;"01/12/2006"
AMPLIFICATEUR ET SONDE;"ELECTRONIQUE";;"IRAP06-0470";;"CNRS";;;;;2457,00;;;21540000;;;;;;;;;"01/12/2006"
OSCILLOSCOPE NUMERIQUE;"ELECTRONIQUE";;"IRAP06-0471";;"CNRS";;;;;1479,00;;;21540000;;;;"560941";;;;;"06/12/2006"
PRECISION 690;"INFORMATIQUE";;"IRAP06-0472";;"CNRS";;;;;1049,00;;;21830000;;;;;;;;;"11/12/2006"
PRECISION 690;"INFORMATIQUE";;"IRAP06-0473";;"CNRS";;;;;1049,00;;;21830000;;;;;;;;;"11/12/2006"
PRECISION;"INFORMATIQUE";;"IRAP06-0474";;"CNRS";;;;;1049,00;;;21830000;;;;"562271";;;;;"11/12/2006"
PICOAMMETER/VOLTAGE 220V;"INSTRUMENTATION";;"IRAP06-0475";;"CNRS";;;;;3096,80;;;21540000;;;;;;;;;"11/12/2006"
PORTABLE SONY;"INFORMATIQUE";;"IRAP06-0476";;"CNRS";;;;;2089,05;;;21830000;;;;"562259";;;;;"11/12/2006"
LICENCE LIBERO PLATINIUM;"INFORMATIQUE";;"IRAP06-0477";;"CNRS";;;;;2008,95;;;20530000;;;;;;;;;"11/12/2006"
Alimentation  BL 40-8 Power Supply;"INSTRUMENTATION";;"IRAP06-0478";;;;;;;;;;;"702-135";;;"14061286000--129";;;"THOCAVEN";;"2006 Chemcam"
Alimentation  FI1333 Power Supply;"INSTRUMENTATION";;"IRAP06-0479";;;;;;;;;;;"EG875007";;;"14061171000--131";;;"SERAN ET THOCAVEN";;"2006 Chemcam"
Générateur de fonction AFG320  Abitrary Function Generator;"INSTRUMENTATION";;"IRAP06-0480";;;;;;;;;;;"J314662";;;"29061174000--133";;;"SERAN ET THOCAVEN";;"2006 Chemcam"
Oscilloscope DP04034  ;"ELECTRONIQUE";;"IRAP06-0481";;;;;;;;;;;"B010226";;;"29061207000--2006-134";;;"SERAN ET THOCAVEN";;"2006 Chemcam"
Oscilloscope TDS2014B ;"ELECTRONIQUE";;"IRAP06-0482";;;;;;;;;;;"C032450";;;"14061525000--SANS";;;"THOCAVEN";;"2006 Chemcam"
Sondes ADA400A differential probe;"INSTRUMENTATION";;"IRAP06-0483";;;;;;;;;;;"B012099";;;"29061267000--136";;;"THOCAVEN";;"2006 Chemcam"
Sondes TCP312  Current probe;"INSTRUMENTATION";;"IRAP06-0484";;;;;;;;;;;;;;"14061362000--135";;;"SERAN ET THOCAVEN";;"2006 Chemcam"
Oscilloscope TDS2014B ;"ELECTRONIQUE";;"IRAP06-0485";;;;;;;;;;;"C031173";;;"29061284000--INSU128";;;"THOCAVEN";;"2006 Venus Express"
TABLE NID D ABEILLES;"INSTRUMENTATION";;"IRAP06-0486";;"CNRS";;;;;3680,00;;;21540000;;;;"9011";;;;;"05/05/2006"
MACBOOK PRO 15.4;"INFORMATIQUE";;"IRAP07-0487";;"CNRS";;;;"FRANCE SYSTEMES";3525,22;229088;;21830000;;;;"563147";;;;;"01/01/2007"
VAIO SZ3HP/B INTEL + EXTENSION GARANTIE 3 ANS SITE;"INFORMATIQUE";;"IRAP07-0488";;"CNRS";;;;"1028626";2214,87;229221;;21830000;;;;"477";;;;;"28/11/2007"
1 LENTILLE DU GALILEEN + MIROIR DICHROIQUE;"OPTIQUE";;"IRAP07-0489";;"CNRS";;;;"WINLIGHT OPTICS";35174,40;229221;;21540000;;;;"563705";;;;;"07/03/2007"
Portable M90;"INFORMATIQUE";;"IRAP07-0490";;"CNRS";;;;"DELL";2381,13;"9ADO0277";;21830000;;;;"562292";;;;;"01/01/2007"
DELL LATITUDE 520;"INFORMATIQUE";;"IRAP07-0491";;"CNRS";;;;"DELL";1683,45;"9ADO0277";;21830000;;;;;;;;;"01/01/2007"
PORTABLE M90;"INFORMATIQUE";;"IRAP07-0492";;"CNRS";;;;"DELL";1996,74;"9ADO0277";;21830000;;;;"562295";;;;;"01/01/2007"
Réseau de stockage SAN;"INFORMATIQUE";;"IRAP07-0493";;"CNRS";;;;"1003880";17337,93;"9ADO0277";;21830000;;;;;;;;;"08/02/2007"
Système RAID SATA 5x;"INFORMATIQUE";;"IRAP07-0494";;"CNRS";;;;"AIXTENSIONS";1981,49;"9ADO0277";;21830000;;;;"562299";;;;;"01/01/2007"
ALIMENTATIONS (A FORTE PUISSANCE);"INSTRUMENTATION";;"IRAP07-0495";;"CNRS";;;;"CLI";2713,99;229221;;21530000;;;;;;;;;"15/02/2007"
PC PORTABLE PRECISION M90 LOT 2;"INFORMATIQUE";;"IRAP07-0496";;"CNRS";;;;"DELL";3100,80;"9ADO0277";;21830000;;;;"572856";;;;;"22/01/2007"
DELL 3400MP PROJECTOR EUR;"INFORMATIQUE";;"IRAP07-0497";;"CNRS";;;;"DELL";1348,35;"9ADO0277";;21540000;;;;"563709";;;;;"05/03/2007"
RMI Collect mirror as per drawing (X7);"OPTIQUE";;"IRAP07-0498";;"CNRS";;;;"1028323";12327,45;229221;;21540000;;;;"563360";;;;;"27/02/2007"
Precision Portable M90 core 2 Duo;"INFORMATIQUE";;"IRAP07-0499";;"CNRS";;;;"DELL";2039,35;229221;;21830000;;;;"563517";;;;;"27/02/2007"
REALISATION 2 JEUX DE PIEDS OBOX;"INSTRUMENTATION";;"IRAP07-0500";;"CNRS";;;;"1009134";12164,48;229221;;21540000;;;;"564697";;;;;"03/01/2007"
SONDE DE COURANT 30 A 100 MHZ;"INSTRUMENTATION";;"IRAP07-0501";;"CNRS";;;;"DISTRAME FRANCAISE D'INSTRUMENTATION";2856,90;229221;;21540000;;;;"563547";;;;;"14/03/2007"
Boitier MDM 37 points;"INSTRUMENTATION";;"IRAP07-0502";;"CNRS";;;;"1033616";1348,35;229221;;21540000;;;;"564236";;;;;"16/03/2007"
MATERIEL,INSTAL ET CONTROLE;"INSTRUMENTATION";;"IRAP07-0503";;"CNRS";;;;"COMAT CONCEPT MECANIQUE ET ASSISTAN CE TECHNIQUE";4573,29;229221;;21530000;;;;;;;;;"08/02/2007"
REALISATION PETITS OUTILLAGE + EM + EQM;"INSTRUMENTATION";;"IRAP07-0504";;"CNRS";;;;"MICROTEC";27084,29;229221;;21540000;;;;"564632";;;;;"30/03/2007"
Drilling machine type DK 13 + Drill stand type JKS;;;"IRAP07-0505";;"CNRS";;;;"J.K. SMIT & ZONEN";1759,60;229221;;21540000;;;;"566316";;;;;"06/04/2007"
STATION AVEC FER + ACCESSOIRES;"INFORMATIQUE";;"IRAP07-0506";;"CNRS";;;;"RS COMPONENTS SAS";2111,39;"9ADO0277";;21530000;;;;"562888";;;;;"09/01/2007"
PC DELL PRECISION390;"INFORMATIQUE";;"IRAP07-0507";;"CNRS";;;;"DELL";1566,50;2291731;;21830000;;;;;;;;;"04/04/2007"
PC PORTABLE DELL LATITUDE D420;"INFORMATIQUE";;"IRAP07-0508";;"CNRS";;;;"DELL";1481,73;2291731;;21830000;;;;"566319";;;;;"04/04/2007"
PC PORTABLE DELL LATITUDE D520;"INFORMATIQUE";;"IRAP07-0509";;"CNRS";;;;"DELL";1423,15;2291731;;21830000;;;;"566323";;;;;"04/04/2007"
MIROIR 254mm F/6;"OPTIQUE";;"IRAP07-0510";;"CNRS";;;;"COSMODIFF SARL LA CLE ETOILE";1415,60;229233;;21540000;;;;"566071";;;;;"16/04/2007"
COMPOSANTS POUR CHEMCAM/MSL09;"INSTRUMENTATION";;"IRAP07-0511";;"CNRS";;;;"1030740";14048,07;229221;;21540000;;;;"566983";;;;;"18/04/2007"
CD4071BKMSR + STC4695 33.33MHz;"ELECTRONIQUE";;"IRAP07-0512";;"CNRS";;;;"1030740";6304,42;229221;;21540000;;;;"565637";;;;;"02/04/2007"
REALISATION 3 LAMES ASPHERIQUES;"INSTRUMENTATION";;"IRAP07-0513";;"CNRS";;;;"STE EUROPEENNE DE SYSTEMES OPTIQUES";56279,04;229221;;21530000;;;;;;;;;"26/04/2007"
MACBOOK PRO 15,4" + ACCESSOIRES";"INFORMATIQUE";;"IRAP07-0514";;"CNRS";;;;"FRANCE SYSTEMES";3136,44;"9ADO1942";;21830000;;;;"569917";;;;;"11/05/2007"
PC LATITUDE D520;"INFORMATIQUE";;"IRAP07-0515";;"CNRS";;;;"DELL";1347,94;"9ADO0277";;21830000;;;;"572839";;;;;"25/05/2007"
Portable DELL 620 LOT 2 Configuration n° 2;"INFORMATIQUE";;"IRAP07-0516";;"CNRS";;;;"DELL";1405,34;229221;;21830000;;;;"572840";;;;;"30/05/2007"
HP PROLIANT ML350 G4 XE-3G;"INFORMATIQUE";;"IRAP07-0517";;"CNRS";;;;"INMAC WSTORE MISCO";2919,48;229212;;21830000;;;;"571378";;;;;"31/05/2007"
OBOX MODELE EQM;"INSTRUMENTATION";;"IRAP07-0518";;"CNRS";;;;"CONCEPT MECANIQUE & ASSISTANCE TECHNIQUE";52554,72;229221;;21540000;;;;"572830";;;;;"05/07/2007"
Baie de stockage 12 Bay;"INFORMATIQUE";;"IRAP07-0519";;"CNRS";;;;"1003880";3800,17;2292430;;21830000;;;;"571923";;;;;"29/06/2007"
PRESTATION SUR SITE DES HARNAIS INTERNE ....;"INSTRUMENTATION";;"IRAP07-0520";;"CNRS";;;;"REALISATION ELECTRONIQUE SPATIALE A ERAUN";9417,36;229221;;21540000;;;;;;;;;"03/09/2007"
1 MIROIR PRIMAIRE + 1 MIROIR SECONDAIRE EQM;"OPTIQUE";;"IRAP07-0521";;"CNRS";;;;"WINLIGHT OPTICS";27436,03;229221;;21540000;;;;;;;;;"31/07/2007"
MIROIR PRIMAIRE ET SECONDAIER FM;"OPTIQUE";;"IRAP07-0522";;"CNRS";;;;"WINLIGHT OPTICS";33063,94;229221;;21540000;;;;;;;;;"15/10/2007"
EBOX MODELE EQM;"INSTRUMENTATION";;"IRAP07-0523";;"CNRS";;;;"CONCEPT MECANIQUE & ASSISTANCE TECHNIQUE";17310,64;229221;;21540000;;;;;;;;;"02/08/2007"
Robot Partie 2007  CWL BOARD-CHEMCAM EQM;"INSTRUMENTATION";;"IRAP07-0524";;"CNRS";;;;"REALISATION ELECTRONIQUE SPATIALE A ERAUN";32650,05;229221;;21540000;;;;;;;;;"20/08/2007"
Connecteur Obox + Connecteur Ebox;"INFORMATIQUE";;"IRAP07-0525";;"CNRS";;;;"AXON CABLE";24481,92;229221;;21540000;;;;;;;;;"12/09/2007"
MACBOOK PRO 15,4 + ACCESSOIRES;"INFORMATIQUE";;"IRAP07-0526";;"CNRS";;;;"FRANCE SYSTEMES";1983,89;205291;;21830000;;;;;;;;;"14/09/2007"
CAN ANALYSER V2.0 "VERSION PRO"" + ACCESSOIRES";"ELECTRONIQUE";;"IRAP07-0527";;"CNRS";;;;"ISIT SARL";3920,77;"9ADO0277";;21540000;;;;;;;;;"11/10/2007"
LOT2-CONFIGURAT° N°2-LATTITUDE D630;"INFORMATIQUE";;"IRAP07-0528";;"CNRS";;;;"DELL";1452,70;"9ADO0277";;21830000;;;;"404";;;;;"22/10/2007"
LOT2-CONFIGURAT° N°4-LATTITUDE D830;"INFORMATIQUE";;"IRAP07-0529";;"CNRS";;;;"DELL";1512,50;"9ADO0277";;21830000;;;;"404";;;;;"22/10/2007"
MIROIRS LASER (X3);"OPTIQUE";;"IRAP07-0530";;"CNRS";;;;"WINLIGHT OPTICS";8559,10;229221;;21540000;;;;;;;;;"15/10/2007"
DELL PRECISIONtm 390;"INFORMATIQUE";;"IRAP07-0531";;"CNRS";;;;"DELL";1655,54;250404;;21830000;;;;;;;;;"17/10/2007"
CONVERTISSEURS (X4);"ELECTRONIQUE";;"IRAP07-0532";;"CNRS";;;;"INTERPOINT";43187,12;"9ADO0277";;21540000;;;;"484";;;;;"12/12/2007"
DELL LATITUDE TM D830;"INFORMATIQUE";;"IRAP07-0533";;"CNRS";;;;"DELL";1533,61;"9ADO0277";;21830000;;;;"414";;;;;"05/11/2007"
HP Compaq Mobile Workstation;"INFORMATIQUE";;"IRAP07-0534";;"CNRS";;;;"1037179";2160,88;"9ADO0277";;21830000;;;;"413";;;;;"31/10/2007"
LATITUDE DELL 630 INTEL CORE 2 DUO T7100;"INFORMATIQUE";;"IRAP07-0535";;"CNRS";;;;"DELL";1331,18;"9ADO0277";;21830000;;;;"483";;;;;"26/11/2007"
LATITUDE D630 + ACCESSOIRES;"INFORMATIQUE";;"IRAP07-0536";;"CNRS";;;;"DELL";1923,69;"9ADO0277";;21830000;;;;"419";;;;;"22/11/2007"
REALISATION 5 HUBLOTS + 6 TEMOINS;"INSTRUMENTATION";;"IRAP07-0537";;"CNRS";;;;"OPTIQUE DE PRECISION J FICHOU";7597,67;229221;;21540000;;;;"418";;;;;"20/11/2007"
LOT1-CONGIG N°4-PRECISION TM690;"INFORMATIQUE";;"IRAP07-0538";;"CNRS";;;;"DELL";3941,05;"9ADO0277";;21830000;;;;"480";;;;;"03/12/2007"
WORKSTATION PORTABLE;"INFORMATIQUE";;"IRAP07-0539";;"CNRS";;;;"1037179";2160,88;"9ADO0277";;21830000;;;;"417";;;;;"19/11/2007"
MACBOOK PRO 15,4" CORE 2 DUO";"INFORMATIQUE";;"IRAP07-0540";;"CNRS";;;;"FRANCE SYSTEMES";1983,89;"9ADO0277";;21830000;;;;"480";;;;;"03/12/2007"
Alimentation TTI QL 355TP;"ELECTRONIQUE";;"IRAP07-0541";;"CNRS";;;;"FARNELL FRANCE FARNELL INONE";1305,00;229221;;21540000;;;;"567950";;;;;"20/04/2007"
